GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,POS_7DAYAVG,NEGATIVE,NEG_NEW,NEG_7DAYAVG,DEATHS,DTH_NEW,DTH_7DAYAVG,TEST_NEW,TEST_7DAYAVG,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,OBJECTID
55021,County,Columbia,2021/10/14 19:00:00+00,7135,21,26.14,34053,50,62.57,65,0,0,71,88.71,391,4157,2587,3542,3576,17,420,1005,1083,1163,1002,1135,725,397,159,46,30,35,-999,-999,-999,-999,-999,-999,6,5,20,19,12,62,44,231,6226,307,265,392,5305,1438,-999,-999,-999,62,-999,-999,-999,64,-999,297,3317,3521,1965213
55023,County,Crawford,2021/10/14 19:00:00+00,2111,17,10.14,8912,32,17.86,22,0,0,49,28,130,933,1048,921,1188,-999,57,206,325,332,337,378,263,130,61,22,10,12,-999,-999,-999,-999,-999,-999,-999,-999,7,-999,5,10,11,179,1820,45,46,58,1899,154,-999,-999,-999,19,-999,-999,-999,22,-999,126,862,1123,1965350
55025,County,Dane,2021/10/14 19:00:00+00,54817,118,132,415808,780,713.14,339,0,0.57,898,845.14,1888,32008,20921,27393,27388,36,3325,9717,14080,8501,6778,5828,3637,1714,864,373,169,170,-999,-999,-999,-999,6,8,20,36,70,112,84,405,2421,4783,40952,5592,664,7192,44277,3348,-999,7,25,304,-999,-999,13,326,-999,3142,33400,18275,1964962
55027,County,Dodge,2021/10/14 19:00:00+00,14313,20,34.14,49166,70,66.57,196,0,0.43,90,100.71,940,8972,4401,6238,8057,18,505,1460,2253,2550,2324,2244,1611,816,420,130,91,105,-999,-999,-999,-999,-999,-999,14,35,47,61,33,106,114,1022,10958,769,1344,1162,10274,2877,-999,-999,-999,188,-999,-999,5,185,6,571,4104,9638,1965259
55029,County,Door,2021/10/14 19:00:00+00,3362,11,14.14,17838,29,30.14,31,0,0,40,44.29,138,700,2524,1696,1664,-999,173,409,441,475,478,484,477,284,103,38,13,18,-999,-999,-999,-999,-999,-999,-999,5,10,7,8,13,13,22,3107,57,150,162,2957,243,-999,-999,-999,30,-999,-999,-999,29,-999,113,1139,2110,1957965
55031,County,Douglas,2021/10/14 19:00:00+00,4682,12,11.71,23942,38,40.29,44,0,0,50,52,217,3587,878,2329,2352,-999,216,491,878,696,667,684,530,307,152,61,17,27,-999,-999,-999,-999,-999,-999,-999,-999,9,17,13,69,28,56,3917,146,466,73,3842,767,-999,-999,-999,41,-999,-999,-999,44,-999,279,1494,2909,1960724
55033,County,Dunn,2021/10/14 19:00:00+00,6165,39,26.43,23728,36,45.57,44,0,0.14,75,72,255,3160,2750,3070,3092,-999,387,962,1401,818,746,796,570,322,128,35,23,21,-999,-999,-999,-999,-999,-999,-999,8,11,11,9,20,178,57,5361,143,406,100,5435,629,-999,-999,-999,41,-999,-999,-999,44,-999,348,3725,2092,1958107
55037,County,Florence,2021/10/14 19:00:00+00,505,6,1.71,1848,8,3.29,13,0,0,14,5,40,318,147,251,254,-999,13,36,42,60,56,106,92,58,30,12,6,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,368,7,126,-999,335,166,-999,-999,-999,10,-999,-999,-999,10,-999,20,132,353,1958617
55039,County,Fond du Lac,2021/10/14 19:00:00+00,16026,64,62.71,57026,79,91.14,142,0,0.14,143,153.86,926,11355,3745,8669,7350,7,869,1978,2515,2513,2309,2432,1884,1003,412,111,63,79,-999,-999,-999,-999,-999,6,10,22,40,36,25,75,205,475,14027,496,748,1151,13017,1858,-999,-999,-999,134,-999,-999,-999,137,-999,955,10056,5015,1958623
55041,County,Forest,2021/10/14 19:00:00+00,1358,8,4.29,5862,9,7.29,27,0,0,17,11.57,79,1039,240,706,652,-999,103,162,149,148,167,217,198,131,69,14,12,15,-999,-999,-999,-999,-999,-999,-999,6,9,11,-999,268,8,-999,999,17,66,9,1199,150,9,-999,-999,16,-999,-999,-999,25,-999,62,742,554,1958766
