GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,NEGATIVE,NEG_NEW,DEATHS,DTH_NEW,TEST_NEW,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,OBJECTID
55113,County,Sawyer,2020/07/24 19:00:00+00,21,2,2279,35,0,0,37,1,15,5,14,7,-999,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,-999,-999,-999,17,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172882
55115,County,Shawano,2020/07/24 19:00:00+00,124,5,5387,47,0,0,52,14,100,10,66,58,-999,5,-999,28,22,17,25,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,-999,63,5,44,12,78,34,-999,-999,-999,-999,-999,-999,-999,-999,-999,21,74,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172889
55011,County,Buffalo,2020/07/24 19:00:00+00,34,1,1415,26,2,0,27,3,24,7,15,19,-999,-999,5,6,5,5,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,34,-999,-999,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,24,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172895
55013,County,Burnett,2020/07/24 19:00:00+00,9,2,1286,23,1,0,25,4,5,0,-999,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,-999,-999,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172901
55117,County,Sheboygan,2020/07/24 19:00:00+00,446,13,13156,158,5,0,171,28,229,189,246,198,-999,10,59,109,61,65,60,45,22,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,13,12,342,34,45,88,308,50,-999,-999,-999,5,-999,-999,-999,5,-999,39,265,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172918
55015,County,Calumet,2020/07/24 19:00:00+00,204,3,4913,64,2,0,67,13,163,28,111,93,-999,-999,17,54,27,30,29,17,13,9,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,7,161,8,20,51,133,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,14,152,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172925
55017,County,Chippewa,2020/07/24 19:00:00+00,183,6,9072,91,0,0,97,9,111,63,108,75,-999,9,14,43,29,25,34,17,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,169,-999,11,-999,172,11,-999,-999,-999,-999,-999,-999,-999,-999,-999,18,94,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172937
55019,County,Clark,2020/07/24 19:00:00+00,154,2,3210,54,7,0,56,10,89,55,87,67,-999,8,12,37,20,27,22,15,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,98,-999,55,70,74,10,-999,-999,-999,7,-999,-999,-999,5,-999,10,29,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172966
55021,County,Columbia,2020/07/24 19:00:00+00,181,8,8240,114,1,0,122,21,124,36,95,86,-999,-999,14,36,34,32,29,13,11,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7,146,10,13,14,148,19,-999,-999,-999,-999,-999,-999,-999,-999,-999,18,127,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172975
55119,County,Taylor,2020/07/24 19:00:00+00,38,1,1535,79,0,0,80,5,29,4,23,15,-999,-999,-999,5,-999,-999,8,7,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,34,-999,-999,-999,33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172979
